title,code
aeronautical engineering professor,25-1032
ceramic engineering professor,25-1032
chemical engineering professor,25-1032
civil engineering professor,25-1032
electrical engineering professor,25-1032
electronics engineering professor,25-1032
industrial engineering professor,25-1032
manufacturing engineering professor,25-1032
marine engineering professor,25-1032
mechanical engineering professor,25-1032
petroleum engineering professor,25-1032
agricultural soil conservation professor,25-1041
agronomy professor,25-1041
animal husbandry professor,25-1041
animal science professor,25-1041
aquaculture and fisheries professor,25-1041
farm management professor,25-1041
floriculture professor,25-1041
olericulture professor,25-1041
anatomy professor,25-1042
bacteriology professor,25-1042
biochemistry professor,25-1042
botany professor,25-1042
embryology professor,25-1042
microbiology professor,25-1042
zoology professor,25-1042
ecology professor,25-1043
environmental conservation professor,25-1043
forest biometrics professor,25-1043
forest ecology professor,25-1043
forest management professor,25-1043
forest pathology professor,25-1043
forest resources professor,25-1043
forest technology professor,25-1043
silviculture professor,25-1043
timber management professor,25-1043
wildlife conservation professor,25-1043
climatology professor,25-1051
geoscience professor,25-1051
meteorology professor,25-1051
mineralogy professor,25-1051
oceanic sciences professor,25-1051
oceanography professor,25-1051
volcanology professor,25-1051
inorganic chemistry professor,25-1052
organic chemistry professor,25-1052
physical chemistry professor,25-1052
phytochemistry professor,25-1052
"environmental science, management and policy professor",25-1053
environmental studies professor,25-1053
aerodynamics professor,25-1054
astrophysics professor,25-1054
atomic physics professor,25-1054
ballistics professor,25-1054
hydrodynamics professor,25-1054
medical physics professor,25-1054
nuclear physics professor,25-1054
physical science professor,25-1054
thermodynamics professor,25-1054
cultural anthropology professor,25-1061
ethnoarchaeology professor,25-1061
near east archeology professor,25-1061
paleology professor,25-1061
sociocultural anthropology professor,25-1061
asian studies professor,25-1062
black studies professor,25-1062
ethnology professor,25-1062
gender studies professor,25-1062
women's studies professor,25-1062
econometrics professor,25-1063
industrial economics professor,25-1063
labor economics professor,25-1063
macroeconomics professor,25-1063
microeconomics professor,25-1063
cartography professor,25-1064
geographic information systems professor,25-1064
geomatics professor,25-1064
gis professor,25-1064
government professor,25-1065
international relations professor,25-1065
political theory professor,25-1065
public policy professor,25-1065
applied psychology professor,25-1066
child development professor,25-1066
clinical psychology professor,25-1066
educational psychology professor,25-1066
human relations professor,25-1066
industrial psychology professor,25-1066
industrial/organizational psychology professor,25-1066
comparative sociology professor,25-1067
race relations professor,25-1067
social organization professor,25-1067
survey research professor,25-1069
urban planning professor,25-1069
clinical laboratory science professor,25-1071
clinical sciences professor,25-1071
dentistry professor,25-1071
gastroenterology professor,25-1071
neurology professor,25-1071
nutrition professor,25-1071
occupational therapy professor,25-1071
optometry professor,25-1071
pharmacology professor,25-1071
physical therapy professor,25-1071
podiatric medicine professor,25-1071
podiatry professor,25-1071
public health professor,25-1071
advanced nursing professor,25-1072
clinical nursing instructor,25-1072
clinical nursing professor,25-1072
registered nursing professor,25-1072
counselor education professor,25-1081
literacy education professor,25-1081
primary education professor,25-1081
science education professor,25-1081
secondary education professor,25-1081
special education professor,25-1081
library and information science professor,25-1082
library and information technology instructor,25-1082
medical records library professor,25-1082
criminal justice professor,25-1111
criminology professor,25-1111
penology professor,25-1111
constitutional law professor,25-1112
contracts law professor,25-1112
criminal law professor,25-1112
environmental law professor,25-1112
labor law professor,25-1112
torts law professor,25-1112
family welfare social work professor,25-1113
geriatric social work professor,25-1113
health social work professor,25-1113
social work professor,25-1113
ballet professor,25-1121
graphic design professor,25-1121
music professor,25-1121
photography professor,25-1121
piano performance and pedagogy professor,25-1121
piano professor,25-1121
scene and lighting design lecturer,25-1121
stagecraft professor,25-1121
theatre professor,25-1121
voice professor,25-1121
interpersonal communications professor,25-1122
media arts professor,25-1122
professor of communication and writing,25-1122
professor of rhetoric,25-1122
public speaking professor,25-1122
speech professor,25-1122
children's literature professor,25-1123
composition professor,25-1123
contemporary english literature professor,25-1123
creative writing english professor,25-1123
etymology professor,25-1123
medieval english literature professor,25-1123
seventeenth-century english literature professor,25-1123
victorian literature professor,25-1123
arabic professor,25-1124
biblical languages professor,25-1124
chinese language professor,25-1124
french professor,25-1124
german professor,25-1124
greek professor,25-1124
hebrew professor,25-1124
japanese professor,25-1124
russian language professor,25-1124
spanish literature professor,25-1124
african history professor,25-1125
american history professor,25-1125
historiography professor,25-1125
jewish history professor,25-1125
russian history professor,25-1125
south asian history professor,25-1125
biblical studies professor,25-1126
divinity professor,25-1126
eastern philosophy professor,25-1126
old testament professor,25-1126
pastoral ministries professor,25-1126
theology professor,25-1126
western philosophy professor,25-1126
graduate student instructor,25-1191
teaching fellow,25-1191
family and consumer sciences professor,25-1192
family resource management professor,25-1192
home and family living professor,25-1192
weaving professor,25-1192
health and physical education professor,25-1193
human performance professor,25-1193
kinesiology professor,25-1193
leisure studies professor,25-1193
physical education (pe) professor,25-1193
physical education professor,25-1193
swimming professor,25-1193
aviation maintenance instructor,25-1194
barbering instructor,25-1194
barbering teacher,25-1194
building trades instructor,25-1194
commercial art instructor,25-1194
computer repair instructor,25-1194
computer-aided drafting and design instructor,25-1194
cosmetology professor,25-1194
electrical technology instructor,25-1194
industrial electrical technology instructor,25-1194
industrial maintenance instructor,25-1194
machine tool technician instructor,25-1194
mechanical maintenance instructor,25-1194
postsecondary career and technical education teacher,25-1194
residential construction instructor,25-1194
skin care instructor,25-1194
upholstery instructor,25-1194
vocational horticulture instructor,25-1194
flight simulator teacher,25-1199
interdisciplinary professor,25-1199
project management professor,25-1199
head start teacher,25-2011
nursery school teacher,25-2011
nursery teacher,25-2011
pre-k teacher,25-2011
pre-kindergarten teacher,25-2011
preschool teacher,25-2011
bilingual kindergarten teacher,25-2012
3rd grade reading teacher,25-2021
4th grade math teacher,25-2021
elementary school band director,25-2021
elementary school teacher,25-2021
grades 1 thru 5 teacher,25-2021
7th grade social studies teacher,25-2022
junior high school teacher,25-2022
middle school pe teacher,25-2022
middle school science teacher,25-2022
middle school vocational education teacher,25-2023
high school biology teacher,25-2031
high school english teacher,25-2031
high school french teacher,25-2031
high school history teacher,25-2031
high school math teacher,25-2031
high school music director ,25-2031
high school teacher,25-2031
high school auto repair teacher,25-2032
high school vocational education teacher,25-2032
early childhood special education teacher,25-2051
early childhood special educator,25-2051
pre-k special education teacher,25-2051
pre-kindergarten special education teacher,25-2051
sed elementary school teacher,25-2052
severe emotional disorders elementary school teacher,25-2052
special education kindergarten teacher,25-2052
middle school special education teacher,25-2053
middle school teacher for students with moderate intellectual disabilities,25-2053
sed middle school teacher,25-2053
severe emotional disorders middle school teacher,25-2053
high school learning support teacher,25-2054
high school special education teacher,25-2054
secondary school special ed teacher,25-2054
sed high school teacher,25-2054
severe emotional disorders high school teacher,25-2054
adult basic studies teacher,25-3011
adult literacy instructor,25-3011
adult literacy teacher,25-3011
adult remedial education instructor,25-3011
ged instructor,25-3011
general educational development (ged) teacher,25-3011
general educational development teacher,25-3011
